Strategy,Model,Accuracy,Precision,Recall,F1,MCC,AUC,Training Time,Model Parameters,CV Scores
Base,LogisticRegression,0.9062666666666668,0.6519607843137255,0.3216444981862152,0.4307692307692307,0.4148086305658591,0.650182356990605,1094.0084896087646,"{'cf__C': 10, 'cf__penalty': 'l1', 'cf__solver': 'liblinear'}",[0.41832253 0.42707889 0.44205627 0.42984699 0.42915262]
Base,RandomForestClassifier,0.9078,0.7203252032520325,0.2678355501813785,0.3904803878360511,0.4027189627004794,0.6274738967750891,3600.330005645752,"{'cf__max_depth': None, 'cf__n_estimators': 75}",[0.39232531 0.40321367 0.41429885 0.40968577 0.38207211]
Base,XGBClassifier,0.9133333333333332,0.7006802721088435,0.373639661426844,0.4873817034700315,0.4711422013082557,0.676929226787152,1984.7373585700989,"{'cf__eta': 0.2, 'cf__gamma': 0.0, 'cf__max_depth': 3, 'cf__min_child_weight': 1, 'cf__tree_method': 'gpu_hist'}",[0.47364072 0.46298461 0.4848551  0.47490325 0.46448186]
SMOTE,LogisticRegression,0.8116666666666666,0.3430715625837577,0.7738814993954051,0.4753946146703807,0.4276711856113308,0.7951154837004,974.1107413768768,"{'cf__C': 0.1, 'cf__penalty': 'l1', 'cf__solver': 'liblinear'}",[0.42588286 0.43416801 0.4204781  0.42750929 0.42741532]
SMOTE,RandomForestClassifier,0.8797333333333334,0.4649859943977591,0.6021765417170496,0.5247629083245521,0.4622275440256973,0.758154058360398,5434.984471082687,"{'cf__max_depth': 13, 'cf__n_estimators': 75}",[0.47215543 0.45937085 0.45842488 0.44852038 0.46362896]
SMOTE,XGBClassifier,0.9054666666666666,0.5847701149425287,0.4921402660217654,0.5344714379514117,0.4845178555302986,0.7244157047177613,3706.837206602097,"{'cf__eta': 0.2, 'cf__gamma': 0.2, 'cf__max_depth': 3, 'cf__min_child_weight': 1, 'cf__tree_method': 'gpu_hist'}",[0.48480965 0.50460123 0.47827477 0.48149215 0.49709507]
Cost,LogisticRegression,0.8037333333333333,0.3348694316436252,0.7908101571946796,0.4705035971223022,0.4254858123044313,0.7980725445047278,1625.5983653068542,"{'cf__C': 1, 'cf__penalty': 'l1', 'cf__solver': 'liblinear'}",[0.42165791 0.42112043 0.42433957 0.42832447 0.41835894]
Cost,RandomForestClassifier,0.8768666666666667,0.4567458538771851,0.6160822249093107,0.5245817245817246,0.4623772309497245,0.762634248974961,2654.9624614715576,"{'cf__max_depth': 13, 'cf__n_estimators': 100}",[0.45641208 0.47465903 0.46296407 0.45225948 0.46541343]
Cost,XGBClassifier,0.8676666666666667,0.4372392870686386,0.6970979443772672,0.5374038685621068,0.482117020868202,0.7929517895121763,2107.981018304825,"{'cf__eta': 0.1, 'cf__gamma': 0.2, 'cf__max_depth': 9, 'cf__min_child_weight': 3, 'cf__scale_pos_weight': 8.066666666666666, 'cf__tree_method': 'gpu_hist'}",[0.4720808  0.47407429 0.47226726 0.47520983 0.47609236]
Base,NeuralNetwork,0.86744,0.435086,0.67852,0.530196,0.472605,0.878527,1207.720386,Omitted,Not Applicable
SMOTE,NeuralNetwork,0.81936,0.353723,0.772134,0.48518,0.437646,0.874274,3471.762995,Omitted,Not Applicable
